القسم,الكود,الاسم_في_السيستم,الاسم_في_الميزان,الاسم_في_الاكسيل,سعر_السيستم,سعر_الميزان,سعر_الاكسيل,الملاحظة
"منتجات","1","لحم كندوز بالعظم","لحم كندوز بالعظم","","320","400","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","2","لحم كندوز ملبس","لحم كندوز ملبس","","330","470","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","3","صرة كندوز","صرة كندوز","","300","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","4","دوش كندوز","دوش كندوز","دوش","470","470","470",""
"منتجات","5","سن كندوز","سن كندوز","سن","495","495","495",""
"منتجات","6","موزة كندوز","موزة كندوز","","300","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","7","إنتركوت","إنتركوت","انتركوت","510","495","510","تعارض سعر بين الاكسيل والميزان"
"منتجات","8","كباب حلة","كباب حلة","كباب حله","495","495","495",""
"منتجات","9","مكعبات خضار","مكعبات خضار","","330","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","10","ستيك","ستيك","","400","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","11","بفتيك","بفتيك","بفتيك","550","550","550",""
"منتجات","12","فليتو","فليتو","عرق فلتو","550","550","550",""
"منتجات","13","روستو","روستو","رستو","550","550","550",""
"منتجات","14","كبدة كندوز صافي","كبدة كندوز صافي","كبده صافي","600","600","600",""
"منتجات","15","كبدة كندوز مشكلة","كبدة كندوز مشكلة","كبده مشكل","500","500","500",""
"منتجات","16","قلب كندوز","قلب كندوز","","90","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","17","كلاوي كندوز","كلاوي كندوز","","85","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","18","لحم قطعيات صافي","لحم قطعيات صافي","لحم الصافي","550","550","550",""
"منتجات","19","وش فخدة","وش فخدة","وش فخده","510","495","510","تعارض سعر بين الاكسيل والميزان"
"منتجات","20","بوش كندوز","بوش كندوز","","180","120","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","21","دهن كندوز","دهن كندوز","","80","80","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","22","رقبة ضاني","رقبة ضاني","رقبه ضاني","500","495","500","تعارض سعر بين الاكسيل والميزان"
"منتجات","23","دوش ضاني","دوش ضاني","","390","495","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","24","زند ضاني","زند ضاني","كتف ضاني","525","520","525","تعارض سعر بين الاكسيل والميزان"
"منتجات","25","فخدة ضاني","فخدة ضاني","فخده ضاني","575","560","575","تعارض سعر بين الاكسيل والميزان"
"منتجات","26","ريش ضاني","ريش ضاني","ريش","600","600","600",""
"منتجات","27","بيت كلاوي ضاني","بيت كلاوي ضاني","","470","600","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","28","كبدة ضاني","كبدة ضاني","كبده ضاني","550","520","550","تعارض سعر بين الاكسيل والميزان"
"منتجات","29","ضاني مشفي","ضاني مشفي","","460","700","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","30","لية ضاني","لية ضاني","","90","450","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","31","عظم ضاني","عظم ضاني","","25","35","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","32","بوش ضاني","بوش ضاني","","150","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","33","منديل طرب","منديل طرب","","70","450","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","34","رقبة بتلو","رقبة بتلو","رقبه بتلو","525","500","525","تعارض سعر بين الاكسيل والميزان"
"منتجات","35","دوش بتلو","دوش بتلو","دوش بتلو","495","500","495","تعارض سعر بين الاكسيل والميزان"
"منتجات","36","زند بتلو","زند بتلو","زند بتلو","585","550","585","تعارض سعر بين الاكسيل والميزان"
"منتجات","37","فخدة بتلو","فخدة بتلو","فخده بتلو","585","600","585","تعارض سعر بين الاكسيل والميزان"
"منتجات","38","ريش بتلو","ريش بتلو","ريش بتلو","650","600","650","تعارض سعر بين الاكسيل والميزان"
"منتجات","39","ريش بيت كلاوي بتلو","ريش بيت كلاوي بتلو","","400","600","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","40","كبدة بتلو صافي","كبدة بتلو صافي","كبده بتلو صافي","750","800","750","تعارض سعر بين الاكسيل والميزان"
"منتجات","41","موزة بتلو بالعظم","موزة بتلو بالعظم","","330","550","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","42","موزة بتلو","موزة بتلو","","350","700","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","43","كباب حلة بتلو","كباب حلة بتلو","","355","700","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","44","بفتيك بتلو","بفتيك بتلو","","400","700","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","45","بوش بتلو","بوش بتلو","","140","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","46","عظم بتلو","عظم بتلو","","25","50","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","47","بتلو مشفي","بتلو مشفي","","390","700","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","48","سجق","سجق","سجق","450","480","450","تعارض سعر بين الاكسيل والميزان"
"منتجات","49","برجر","برجر","برجر","450","480","450","تعارض سعر بين الاكسيل والميزان"
"منتجات","50","كفتة سيخ","كفتة سيخ","كفته","450","480","450","تعارض سعر بين الاكسيل والميزان"
"منتجات","51","كفتة داوود باشا","كفتة داوود باشا","","355","480","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","52","كفتة أرز","كفتة أرز","كفته ارز","375","400","375","تعارض سعر بين الاكسيل والميزان"
"منتجات","53","كفتة بانيه","كفتة بانيه","","360","450","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","54","شاورما لحمة متبل","شاورما لحمة متبل","شاورما","550","550","550",""
"منتجات","55","بفتيك متبل","بفتيك متبل","","430","550","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","56","حواوشي متبل","حواوشي متبل","حواوشي","450","470","450","تعارض سعر بين الاكسيل والميزان"
"منتجات","57","مفروم حواوشي متبل","مفروم حواوشي متبل","","345","480","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","58","فاهيتا لحمة متبل","فاهيتا لحمة متبل","","365","550","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","59","ممبار محشي","ممبار محشي","","280","350","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","60","طرب","طرب","","380","500","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","61","فراخ بلدي ثلاجة","فراخ بلدي","","95","230","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","62","فراخ أبيض ثلاجة","فراخ أبيض","","85","160","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","63","بانيه","بانيه","","145","260","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","64","شيش طاووق","شيش طاووق","","150","250","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","65","وراك","وراك","","110","135","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","66","دبوس","دبوس","","100","135","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","67","كبد وقوانص","كبد وقوانص","","70","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","68","كبدة فراخ","كبدة فراخ","","80","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","69","حمام","حمام","","180","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","70","بط","بط","","120","400","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","71","أرانب","أرانب","","160","250","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","72","صدر رومي","صدر رومي","","140","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","73","وراك رومي","وراك رومي","","120","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","74","ديك رومي","ديك رومي","","110","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","75","صدور رومي مخلية","صدور رومي مخلية","","155","350","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","76","بانيه متبل","بانيه متبل","","155","285","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","77","بانيه متبل شوي","بانيه متبل شوي","","160","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","78","شيش طاووق متبل","شيش طاووق متبل","","160","285","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","79","كفتة فراخ","كفتة فراخ","","140","290","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","80","سجق فراخ","سجق فراخ","","145","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","81","برجر فراخ","برجر فراخ","","140","290","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","82","فراخ متبل","فراخ متبل","","120","200","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","83","شاورما فراخ متبل","شاورما فراخ متبل","","150","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","84","فاهيتا فراخ متبل","فاهيتا فراخ متبل","","150","300","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","85","كوارع كندوز أمامي","كوارع كندوز أمامي","كوارع","450","450","450",""
"منتجات","86","كوارع كندوز","كوارع كندوز","كوارع","450","450","450",""
"منتجات","87","كوارع جاموسي","كوارع جاموسي","","450","500","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","88","ممبار بلدي","ممبار بلدي","ممبار","250","250","250",""
"منتجات","89","كرشة","كرشة","","70","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","90","فشة","فشة","","40","200","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","91","طحال","طحال","","50","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","92","لحم راس","لحم راس","","90","200","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","93","هانك سجق","هانك سجق","","60","350","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","94","رأس ضاني","رأس ضاني","","80","250","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","95","عسل زهور","عسل زهور","","120","230","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","96","عسل مكسرات","عسل مكسرات","","150","250","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","97","عسل مكسرات نص","عسل مكسرات نص","","80","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","98","عسل زهرة البرسيم","عسل برسيم","","130","150","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","99","عسل موالح","عسل موالح","","125","170","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","100","عسل تين شوكي","عسل تين شوكي","","140","190","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","101","عسل سدر جبلي","عسل سدر جبلي","","200","450","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
"منتجات","102","عسل حبة البركة","عسل حبة البركة","","160","170","","موجود على الميزان/السيستم وغير موجود في شيت الاكسيل"
