"=== 1) موجود في السيستم ومش على الميزان ==="
"الكود","المنتج","سعر السيستم","النوع"
"110","ماسورة كندوز","50","منتج (موجود في الاكسيل)"
"CUSTOM-SAMANA","سمانة","510","منتج (موجود في الاكسيل)"
"CUSTOM-TOMAHAWK","توم هوك","525","منتج (موجود في الاكسيل)"
"CUSTOM-RIBEYE","ريب آي","510","منتج (موجود في الاكسيل)"
"CUSTOM-OXTAIL","عكاوي","475","منتج (موجود في الاكسيل)"
"CUSTOM-BRAIN","مخ","400","منتج (موجود في الاكسيل)"
"CUSTOM-LAMB-HANK","هانك ضاني","370","منتج (موجود في الاكسيل)"
"CUSTOM-VEAL-LIVER-MIXED","كبدة بتلو مشكل","650","منتج (موجود في الاكسيل)"
"KANDOUZ-kandouz-fridge","لحم كندوز (ثلاجة)","495","مخزون مصدر"
"DHANI-dhani-fridge","ضاني ثلاجة","400","مخزون مصدر"
"BETLO-betlo-fridge","بتلو ثلاجة","360","مخزون مصدر"
"KANDOUZ-kandouz-half","نصف عجل كندوز","310","ذبايح"
"KANDOUZ-kandouz-quarter","ربع عجل كندوز","310","ذبايح"
"DHANI-dhani-half","نصف ذبيحة ضاني","400","ذبايح"
"DHANI-dhani-quarter","ربع ذبيحة ضاني","400","ذبايح"
"BETLO-betlo-half","نصف عجل بتلو","360","ذبايح"
"BETLO-betlo-quarter","ربع عجل بتلو","360","ذبايح"
"OFFAL-offal-bone-kandouz","عظم كندوز","20","منتج"
"FARM-*","حيوانات المزرعة (عجل/خروف/جدي...)","—","مزرعة"
"SERV-*","خدمات (ذبح/فرم/توضيب/رز/نقل...)","—","خدمات"

"=== 2أ) موجود على الميزان ومش في السيستم ==="
"النتيجة: لا يوجد — كل أكواد الميزان موجودة في السيستم"

"=== 2ب) موجود في شيت الاكسيل ومش في السيستم ==="
"المنتج في الاكسيل","السعر","الملاحظة"
"خروف بلدي صغير","270","محتاج إضافة كمنتج منفصل"
"عجل 1/7","16000","محتاج إضافة"
"تصنيع برجر","75","خدمة مش موجودة"
"تصنيع كفته","75","خدمة مش موجودة"

"=== 3) تعارض أسعار بين شيت الاكسيل والميزان ==="
"المنتج","كود الميزان","سعر الاكسيل","سعر الميزان","الفرق (اكسيل-ميزان)"
"انتركوت","7","510","495","15"
"وش فخدة","19","510","495","15"
"مفروم ملبس","112","470","475","-5"
"فخدة ضاني","25","575","560","15"
"كتف/زند ضاني","24","525","520","5"
"رقبة ضاني","22","500","495","5"
"كبدة ضاني","28","550","520","30"
"سجق","48","450","480","-30"
"برجر","49","450","480","-30"
"حواوشي متبل","56","450","470","-20"
"كفتة سيخ","50","450","480","-30"
"كبدة بتلو صافي","40","750","800","-50"
"دوش بتلو","35","495","500","-5"
"رقبة بتلو","34","525","500","25"
"فخدة بتلو","37","585","600","-15"
"ريش بتلو","38","650","600","50"
"زند بتلو","36","585","550","35"
"كفتة أرز","52","375","400","-25"

"=== ملاحظة مهمة ==="
"أسعار شيت الاكسيل متطابقة مع أسعار السيستم الحالية للمنتجات المشتركة"
"أسعار الميزان (لابلز بتاريخ 2023.05.10) مختلفة عن الاكسيل/السيستم في الأصناف أعلاه"

"=== 4) موجود على الميزان والسيستم لكن مش موجود في شيت الاكسيل (محتاجين سعر معتمد منكم) ==="
"الكود","المنتج","سعر الميزان الحالي","سعر السيستم الحالي"
"1","لحم كندوز بالعظم","400","320"
"2","لحم كندوز ملبس","470","330"
"3","صرة كندوز","495","300"
"6","موزة كندوز","495","300"
"9","مكعبات خضار","495","330"
"10","ستيك","495","400"
"16","قلب كندوز","495","90"
"17","كلاوي كندوز","495","85"
"20","بوش كندوز","120","180"
"21","دهن كندوز","80","80"
"23","دوش ضاني","495","390"
"27","بيت كلاوي ضاني","600","470"
"29","ضاني مشفي","700","460"
"30","لية ضاني","450","90"
"31","عظم ضاني","35","25"
"32","بوش ضاني","150","150"
"33","منديل طرب","450","70"
"39","ريش بيت كلاوي بتلو","600","400"
"41","موزة بتلو بالعظم","550","330"
"42","موزة بتلو","700","350"
"43","كباب حلة بتلو","700","355"
"44","بفتيك بتلو","700","400"
"45","بوش بتلو","150","140"
"46","عظم بتلو","50","25"
"47","بتلو مشفي","700","390"
"51","كفتة داوود باشا","480","355"
"53","كفتة بانيه","450","360"
"55","بفتيك متبل","550","430"
"57","مفروم حواوشي متبل","480","345"
"58","فاهيتا لحمة متبل","550","365"
"59","ممبار محشي","350","280"
"60","طرب","500","380"
"61","فراخ بلدي","230","95"
"62","فراخ أبيض","160","85"
"63","بانيه","260","145"
"64","شيش طاووق","250","150"
"65","وراك","135","110"
"66","دبوس","135","100"
"67","كبد وقوانص","150","70"
"68","كبدة فراخ","150","80"
"69","حمام","150","180"
"70","بط","400","120"
"71","أرانب","250","160"
"72","صدر رومي","300","140"
"73","وراك رومي","300","120"
"74","ديك رومي","300","110"
"75","صدور رومي مخلية","350","155"
"76","بانيه متبل","285","155"
"77","بانيه متبل شوي","300","160"
"78","شيش طاووق متبل","285","160"
"79","كفتة فراخ","290","140"
"80","سجق فراخ","300","145"
"81","برجر فراخ","290","140"
"82","فراخ متبل","200","120"
"83","شاورما فراخ متبل","300","150"
"84","فاهيتا فراخ متبل","300","150"
"87","كوارع جاموسي","500","450"
"89","كرشة","150","70"
"90","فشة","200","40"
"91","طحال","150","50"
"92","لحم راس","200","90"
"93","هانك سجق","350","60"
"94","رأس ضاني","250","80"
"95","عسل زهور","230","120"
"96","عسل مكسرات","250","150"
"97","عسل مكسرات نص","150","80"
"98","عسل برسيم","150","130"
"99","عسل موالح","170","125"
"100","عسل تين شوكي","190","140"
"101","عسل سدر جبلي","450","200"
"102","عسل حبة البركة","170","160"
"103","عسل بردقوش","190","150"
"104","عسل شمر","190","145"
"105","بيض بلدي","120","8"
"106","بيض أبيض أو أحمر","120","6"
"107","حليب طبيعي","70","30"
"108","زيت زيتون","150","180"
"109","زبدة بلدي","350","160"
"111","قلب وكلاوي مشكلة","495","88"
"400","مخاصي","400","120"
