code,name,category,price,productType
1,"لحم كندوز بالعظم","كندوز",320,good
2,"لحم كندوز ملبس","كندوز",330,good
3,"صرة كندوز","كندوز",300,good
4,"دوش كندوز","كندوز",470,good
5,"سن كندوز","كندوز",495,good
6,"موزة كندوز","كندوز",300,good
7,"إنتركوت","كندوز",510,good
8,"كباب حلة","كندوز",495,good
9,"مكعبات خضار","كندوز",330,good
10,"ستيك","كندوز",400,good
11,"بفتيك","كندوز",550,good
12,"فليتو","كندوز",550,good
13,"روستو","كندوز",550,good
14,"كبدة كندوز صافي","فواكه اللحوم",600,good
15,"كبدة كندوز مشكلة","فواكه اللحوم",500,good
16,"قلب كندوز","فواكه اللحوم",90,good
17,"كلاوي كندوز","فواكه اللحوم",85,good
18,"لحم قطعيات صافي","كندوز",550,good
19,"وش فخدة","كندوز",510,good
20,"بوش كندوز","كندوز",180,good
21,"دهن كندوز","كندوز",80,good
22,"رقبة ضاني","ضاني",500,good
23,"دوش ضاني","ضاني",390,good
24,"زند ضاني","ضاني",525,good
25,"فخدة ضاني","ضاني",575,good
26,"ريش ضاني","ضاني",600,good
27,"بيت كلاوي ضاني","ضاني",470,good
28,"كبدة ضاني","فواكه اللحوم",550,good
29,"ضاني مشفي","ضاني",460,good
30,"لية ضاني","فواكه اللحوم",90,good
31,"عظم ضاني","فواكه اللحوم",25,good
32,"بوش ضاني","فواكه اللحوم",150,good
33,"منديل طرب","فواكه اللحوم",70,good
34,"رقبة بتلو","بتلو",525,good
35,"دوش بتلو","بتلو",495,good
36,"زند بتلو","بتلو",585,good
37,"فخدة بتلو","بتلو",585,good
38,"ريش بتلو","بتلو",650,good
39,"ريش بيت كلاوي بتلو","بتلو",400,good
40,"كبدة بتلو صافي","فواكه اللحوم",750,good
41,"موزة بتلو بالعظم","بتلو",330,good
42,"موزة بتلو","بتلو",350,good
43,"كباب حلة بتلو","بتلو",355,good
44,"بفتيك بتلو","بتلو",400,good
45,"بوش بتلو","فواكه اللحوم",140,good
46,"عظم بتلو","فواكه اللحوم",25,good
47,"بتلو مشفي","بتلو",390,good
48,"سجق","مصنعات اللحوم",450,good
49,"برجر","مصنعات اللحوم",450,good
50,"كفتة سيخ","مصنعات اللحوم",450,good
51,"كفتة داوود باشا","مصنعات اللحوم",355,good
52,"كفتة أرز","مصنعات اللحوم",375,good
53,"كفتة بانيه","مصنعات اللحوم",360,good
54,"شاورما لحمة متبل","مصنعات اللحوم",550,good
55,"بفتيك متبل","مصنعات اللحوم",430,good
56,"حواوشي متبل","مصنعات اللحوم",450,good
57,"مفروم حواوشي متبل","مصنعات اللحوم",345,good
58,"فاهيتا لحمة متبل","مصنعات اللحوم",365,good
59,"ممبار محشي","مصنعات اللحوم",280,good
60,"طرب","مصنعات اللحوم",380,good
61,"فراخ بلدي ثلاجة","الدواجن",95,good
62,"فراخ أبيض ثلاجة","الدواجن",85,good
63,"بانيه","الدواجن",145,good
64,"شيش طاووق","الدواجن",150,good
65,"وراك","الدواجن",110,good
66,"دبوس","الدواجن",100,good
67,"كبد وقوانص","فواكه اللحوم",70,good
68,"كبدة فراخ","فواكه اللحوم",80,good
69,"حمام","الدواجن",180,good
70,"بط","الدواجن",120,good
71,"أرانب","الدواجن",160,good
72,"صدر رومي","الدواجن",140,good
73,"وراك رومي","الدواجن",120,good
74,"ديك رومي","الدواجن",110,good
75,"صدور رومي مخلية","الدواجن",155,good
76,"بانيه متبل","مصنعات الدواجن",155,good
77,"بانيه متبل شوي","مصنعات الدواجن",160,good
78,"شيش طاووق متبل","مصنعات الدواجن",160,good
79,"كفتة فراخ","مصنعات الدواجن",140,good
80,"سجق فراخ","مصنعات الدواجن",145,good
81,"برجر فراخ","مصنعات الدواجن",140,good
82,"فراخ متبل","مصنعات الدواجن",120,good
83,"شاورما فراخ متبل","مصنعات الدواجن",150,good
84,"فاهيتا فراخ متبل","مصنعات الدواجن",150,good
85,"كوارع كندوز أمامي","فواكه اللحوم",450,good
86,"كوارع كندوز","فواكه اللحوم",450,good
87,"كوارع جاموسي","فواكه اللحوم",450,good
88,"ممبار بلدي","فواكه اللحوم",250,good
89,"كرشة","فواكه اللحوم",70,good
90,"فشة","فواكه اللحوم",40,good
91,"طحال","فواكه اللحوم",50,good
92,"لحم راس","فواكه اللحوم",90,good
93,"هانك سجق","فواكه اللحوم",60,good
94,"رأس ضاني","فواكه اللحوم",80,good
95,"عسل زهور","عسل",120,good
96,"عسل مكسرات","عسل",150,good
97,"عسل مكسرات نص","عسل",80,good
98,"عسل زهرة البرسيم","عسل",130,good
99,"عسل موالح","عسل",125,good
100,"عسل تين شوكي","عسل",140,good
101,"عسل سدر جبلي","عسل",200,good
102,"عسل حبة البركة","عسل",160,good
103,"عسل بردقوش","عسل",150,good
104,"عسل شمر","عسل",145,good
105,"بيض بلدي","ألبان",8,good
106,"بيض أحمر وأبيض","ألبان",6,good
107,"حليب طبيعي","ألبان",30,good
108,"زيت زيتون بكر ممتاز","ألبان",180,good
109,"زبدة بلدي","ألبان",160,good
110,"ماسورة كندوز","كندوز",50,good
BETLO-betlo-fridge,"بتلو ثلاجة","بتلو",360,good
BETLO-betlo-half,"نصف عجل بتلو","بتلو",360,good
BETLO-betlo-quarter,"ربع عجل بتلو","بتلو",360,good
CUSTOM-BRAIN,"مخ","فواكه اللحوم",400,good
CUSTOM-LAMB-HANK,"هانك ضاني","فواكه اللحوم",370,good
CUSTOM-OXTAIL,"عكاوي","فواكه اللحوم",475,good
CUSTOM-RIBEYE,"ريب آي","كندوز",510,good
CUSTOM-SAMANA,"سمانة","كندوز",510,good
CUSTOM-TOMAHAWK,"توم هوك","كندوز",525,good
CUSTOM-VEAL-LIVER-MIXED,"كبدة بتلو مشكل","فواكه اللحوم",650,good
